Heating_Setpoint_RL,Cooling_Setpoint_RL
-0.5015583038330078,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9787642955780029
-1.0,-1.0
-1.0,-0.9027530550956726
-1.0,-0.9005201458930969
-1.0,-0.9181743860244751
-1.0,-1.0
-1.0,-0.9757741093635559
-1.0,-0.9104612469673157
-1.0,-0.8656588792800903
-1.0,-0.8378598690032959
-1.0,-0.7233564853668213
-1.0,-0.8768481612205505
-1.0,-0.8479463458061218
-1.0,-0.7884547710418701
-1.0,-0.7316177487373352
-1.0,-0.7985434532165527
-1.0,-0.6638166904449463
-1.0,-0.6550565958023071
-1.0,-0.7119174003601074
-1.0,-0.7170140147209167
-1.0,-0.41256606578826904
-1.0,-0.3069775104522705
-1.0,-0.28892800211906433
-1.0,-0.2492132931947708
-1.0,-0.23493826389312744
-1.0,-0.1328611969947815
-1.0,-0.18077316880226135
-1.0,-0.18888221681118011
-1.0,-0.06015102565288544
-1.0,-0.17496000230312347
-1.0,-0.20655733346939087
-1.0,-0.18664872646331787
-0.82981276512146,-1.0
-0.8954052329063416,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-0.9971966743469238,-1.0
-0.6264781951904297,-1.0
-0.7588070034980774,-1.0
-0.8686527609825134,-1.0
-0.7892870903015137,-1.0
-0.5528714656829834,-1.0
-0.5310946702957153,-1.0
-0.28523021936416626,-1.0
-0.5203676223754883,-0.986640214920044
0.18473979830741882,-0.9278982877731323
0.059607382863759995,-0.8178317546844482
0.6411454081535339,-0.6541205644607544
0.9317152500152588,-0.6012120246887207
0.6863064169883728,-0.43596339225769043
1.0,-0.3532865345478058
1.0,-0.2394469529390335
1.0,-0.2873741090297699
1.0,-0.24600958824157715
1.0,-0.2439810037612915
1.0,-0.1866483837366104
1.0,-0.14810504019260406
1.0,-0.20856469869613647
1.0,-0.16473853588104248
1.0,-0.1886785924434662
1.0,-0.09911683946847916
1.0,-0.14486953616142273
1.0,-0.2175268977880478
1.0,-0.20100583136081696
1.0,-0.2330048680305481
1.0,-0.21757763624191284
1.0,-0.20630860328674316
1.0,-0.2561415731906891
1.0,-0.25401943922042847
1.0,-0.32439395785331726
1.0,-0.43792659044265747
0.8626086711883545,-0.37628617882728577
0.9172293543815613,-0.4624914228916168
0.6540119647979736,-0.40083131194114685
0.3765562176704407,-0.4665553569793701
0.6778103113174438,-0.6075095534324646
0.1938771903514862,-0.6895057559013367
-0.05101107805967331,-0.8413993716239929
-0.565953254699707,-1.0
-0.8718348741531372,-1.0
-0.924008846282959,-1.0
-0.700247049331665,-1.0
-0.7952923774719238,-1.0
-0.4260777533054352,-1.0
-0.8713899254798889,-1.0
-1.0,-1.0
-1.0,-1.0
-0.9696184992790222,-1.0
-1.0,-1.0
-0.8416985273361206,-1.0
-0.9296697378158569,-1.0
-1.0,-1.0
-1.0,-0.9840295314788818
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9005284905433655
-1.0,-0.8289552927017212
-1.0,-0.7903094291687012
-1.0,-0.8184207081794739
-1.0,-0.833992600440979
-1.0,-0.8513845205307007
-1.0,-0.8086318969726562
-1.0,-0.7132603526115417
-1.0,-0.7068518996238708
-1.0,-0.6513487696647644
-1.0,-0.7066057920455933
-1.0,-0.7305778861045837
