Heating_Setpoint_RL,Cooling_Setpoint_RL
-0.6183551549911499,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9771631360054016
-1.0,-0.9555090069770813
-1.0,-0.9329717755317688
-1.0,-0.9096054434776306
-1.0,-0.8609228730201721
-1.0,-0.8634746074676514
-1.0,-0.8639444708824158
-1.0,-0.8639963269233704
-1.0,-0.8636317849159241
-1.0,-0.862908661365509
-1.0,-0.7854042649269104
-1.0,-0.775015115737915
-1.0,-0.7625276446342468
-1.0,-0.7502726912498474
-1.0,-0.7306527495384216
-1.0,-0.715679943561554
-1.0,-0.5142785310745239
-1.0,-0.43592798709869385
-1.0,-0.3731992244720459
-1.0,-0.3110074996948242
-1.0,-0.25418564677238464
-1.0,-0.20673875510692596
-1.0,-0.16221825778484344
-1.0,-0.17290790379047394
-1.0,-0.19037890434265137
-1.0,-0.20941098034381866
-1.0,-0.23069263994693756
-1.0,-0.25401997566223145
-1.0,-1.0
-0.9061042070388794,-1.0
-0.9399758577346802,-1.0
-0.8978571891784668,-1.0
-0.8474556803703308,-1.0
-0.7564049363136292,-1.0
-0.43830764293670654,-1.0
-0.4438091516494751,-1.0
-0.4121173620223999,-1.0
-0.43446260690689087,-1.0
-0.3313600420951843,-1.0
-0.17352785170078278,-1.0
0.037489522248506546,-0.9469769597053528
0.13366906344890594,-0.8495174646377563
0.6439450979232788,-0.7288904786109924
0.9536047577857971,-0.672160804271698
1.0,-0.6414970755577087
1.0,-0.6238091588020325
0.8809738755226135,-0.5196511149406433
1.0,-0.4231109023094177
1.0,-0.35187119245529175
1.0,-0.33416032791137695
1.0,-0.3253781795501709
1.0,-0.3235574960708618
0.8464661240577698,-0.19520403444766998
1.0,-0.21642175316810608
1.0,-0.20903152227401733
1.0,-0.21634064614772797
1.0,-0.22018755972385406
1.0,-0.2256218045949936
1.0,-0.22954349219799042
1.0,-0.24143211543560028
1.0,-0.2539528012275696
1.0,-0.27506500482559204
1.0,-0.29803457856178284
1.0,-0.3282647728919983
1.0,-0.28331154584884644
1.0,-0.31797462701797485
1.0,-0.32191312313079834
1.0,-0.3689282536506653
1.0,-0.40155404806137085
1.0,-0.46492013335227966
0.7944614291191101,-0.43261170387268066
0.7484923005104065,-0.5356099009513855
0.4958747625350952,-0.6307196021080017
0.1842387169599533,-0.7866840362548828
-0.2760114073753357,-0.9785500168800354
-0.4291175603866577,-1.0
-0.5977873802185059,-1.0
-0.6257231831550598,-1.0
-0.6792826056480408,-1.0
-0.7076543569564819,-1.0
-0.7303552627563477,-1.0
-0.7643539309501648,-1.0
-0.9967832565307617,-1.0
-0.9794225692749023,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9682595133781433
-1.0,-0.9943649172782898
-1.0,-0.7424468994140625
-1.0,-0.7158135771751404
-1.0,-0.7174830436706543
-1.0,-0.7227049469947815
-1.0,-0.7257187366485596
-1.0,-0.7256239056587219
-1.0,-0.6346216201782227
-1.0,-0.6131910085678101
-1.0,-0.6022172570228577
-1.0,-0.5941260457038879
-1.0,-0.5864934325218201
-1.0,-0.5788425803184509
-1.0,-0.4522780179977417
-1.0,-0.41167518496513367
-1.0,-0.37942638993263245
-1.0,-0.3447682857513428
-1.0,-0.3072291314601898
-1.0,-0.2675206959247589
-1.0,-0.19397708773612976
-1.0,-0.16246341168880463
-1.0,-0.14109720289707184
-1.0,-0.12244527041912079
-1.0,-0.10456635057926178
-1.0,-0.08712039142847061
-1.0,-0.04304293543100357
-1.0,-0.02920212782919407
-1.0,-0.019043708220124245
-1.0,-0.009795555844902992
-1.0,-0.001214170828461647
-1.0,0.006167439743876457
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9674524664878845
-1.0,-0.9603721499443054
-1.0,-0.9549750685691833
-1.0,-0.9498415589332581
-1.0,-0.9448774456977844
-1.0,-0.9400762915611267
-1.0,-0.8677482008934021
-1.0,-0.8574334383010864
-1.0,-0.8561546802520752
-1.0,-0.8552898168563843
-1.0,-0.8542166948318481
-1.0,-0.8471209406852722
-1.0,-0.685691237449646
-1.0,-0.6349911093711853
-1.0,-0.6121525764465332
-1.0,-0.5895622372627258
-1.0,-0.5587377548217773
-1.0,-0.5150300860404968
-1.0,-0.4194238781929016
-1.0,-0.37174397706985474
-1.0,-0.3335750699043274
-1.0,-0.3506547212600708
-1.0,-0.3815562129020691
-1.0,-0.40520915389060974
-0.7019466161727905,-0.9216387271881104
-0.13715524971485138,-0.3888967037200928
0.23107804358005524,-0.47444576025009155
0.4266263246536255,-0.26130175590515137
0.8034051060676575,-0.23550881445407867
0.9374842047691345,-0.2016376107931137
1.0,-0.15065234899520874
1.0,-0.17171593010425568
1.0,-0.16642840206623077
1.0,-0.1643640547990799
1.0,-0.13935719430446625
1.0,-0.12104563415050507
1.0,-0.06603176146745682
1.0,-0.05428218096494675
1.0,-0.025946060195565224
1.0,-0.010888474062085152
1.0,0.001233493909239769
