episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-0.07178915308839807,0.18697819737418417,-0.034830615708831905,0.1699923335263217,-0.03695853737956616,0.059476179662205676,-0.06966123141766381,0.3399846670526434,-739.1707475913232,1189.5235932441135,0.01675456874640914,0.10221368155941375,739.1707475913232,1189.5235932441135,35551156.27615228,4.570026613439787,48096,8016.0,False,True
2,-0.07032277400925659,0.1835259448299123,-0.033742688718835526,0.1667456238960281,-0.036580085290421074,0.058711904230770745,-0.06748537743767105,0.3334912477920562,-731.6017058084215,1174.2380846154147,0.016454184872319377,0.09968008120126158,731.6017058084215,1174.2380846154147,35187115.64256184,4.422405189620759,48096,8016.0,False,True
3,-0.06481627098587392,0.16832638484924556,-0.02489950723959037,0.14264465327009504,-0.03991676374628356,0.07055134755104564,-0.04979901447918074,0.2852893065401901,-798.3352749256711,1411.0269510209127,0.012730018656077131,0.08588991735465774,798.3352749256711,1411.0269510209127,38396733.38282508,3.2206420492348635,48096,8016.0,False,True
4,-0.06421787928356652,0.1674853787697719,-0.024917157137701113,0.14255557553152529,-0.039300722145865406,0.06813549405998574,-0.049834314275402226,0.28511115106305057,-786.0144429173081,1362.7098811997146,0.012261191781530878,0.08457752856765403,786.0144429173081,1362.7098811997146,37804150.64655085,3.278858948769128,48096,8016.0,False,True
5,-0.05940673999726983,0.14196756354451548,-0.018886144284961943,0.11731666516159242,-0.04052059571230788,0.0687595899502987,-0.03777228856992389,0.23463333032318484,-810.4119142461576,1375.191799005974,0.007762516052786331,0.06244458357757214,810.4119142461576,1375.191799005974,38977571.427583195,2.7486693280106453,48096,8016.0,False,True
6,-0.05990419523024385,0.14565874351564984,-0.019713307022485242,0.12170629675978219,-0.04019088820775862,0.06806734457862793,-0.039426614044970484,0.24341259351956437,-803.8177641551723,1361.3468915725584,0.008343307837540427,0.06649200299380377,803.8177641551723,1361.3468915725584,38660419.18480717,2.817282102461743,48096,8016.0,False,True
7,-0.05858728131244648,0.13837993997015688,-0.017554341729226278,0.11211213142526902,-0.041032939583220206,0.07157055703590594,-0.035108683458452555,0.22422426285053804,-820.6587916644041,1431.411140718119,0.007111748208855073,0.05826641271747317,820.6587916644041,1431.411140718119,39470405.24389118,2.5823353293413174,48096,8016.0,False,True
8,-0.058459044836941164,0.13502321388723237,-0.01690452008705236,0.10744393346064018,-0.0415545247498888,0.07308698219660852,-0.03380904017410472,0.21488786692128037,-831.0904949977759,1461.73964393217,0.006386863529087535,0.052434270825140815,831.0904949977759,1461.73964393217,39972128.44741303,2.5698602794411176,48096,8016.0,False,True
9,-0.055686602311632895,0.12861893819755407,-0.014584810856834328,0.10082940132860911,-0.041101791454798565,0.07318762525496326,-0.029169621713668655,0.20165880265721822,-822.0358290959714,1463.7525050992654,0.005753689863104814,0.050690395498877897,822.0358290959714,1463.7525050992654,39536635.23619984,2.1810545575515636,48096,8016.0,False,True
10,-0.053654727140532765,0.12247425914338589,-0.01330457892029059,0.09561957893386312,-0.040350148220242174,0.07097947652156145,-0.02660915784058118,0.19123915786772624,-807.0029644048435,1419.589530431229,0.005005762213222152,0.04685098101923742,807.0029644048435,1419.589530431229,38813614.57601535,2.0230372588157017,48096,8016.0,False,True
11,-0.06078282455318543,0.14571817591050368,-0.020010692713653386,0.1195308146014897,-0.04077213183953205,0.07045775518964278,-0.04002138542730677,0.2390616292029794,-815.442636790641,1409.1551037928557,0.008480888875465512,0.0625927794675473,815.442636790641,1409.1551037928557,39219529.05908267,2.9066866267465072,48096,8016.0,False,True
12,-0.05777101654452215,0.13826908093392712,-0.018421641333176034,0.11376986978148813,-0.03934937521134612,0.06855499183927342,-0.03684328266635207,0.22753973956297627,-786.9875042269224,1371.0998367854684,0.007541549559605384,0.05821911675252115,786.9875042269224,1371.0998367854684,37850951.00329806,2.7174817032601464,48096,8016.0,False,True
13,-0.05415987113403816,0.12225104765057465,-0.012110879603032542,0.09250752078461044,-0.04204899153100563,0.07574082730916838,-0.024221759206065084,0.18501504156922088,-840.9798306201125,1514.8165461833676,0.004886244878569627,0.0472654397377061,840.9798306201125,1514.8165461833676,40447765.93350493,1.7943280106453758,48096,8016.0,False,True
14,-0.053171203353508674,0.11834379504314338,-0.011435839927698581,0.08918700492304862,-0.0417353634258101,0.07460355068805771,-0.022871679855397162,0.17837400984609725,-834.7072685162019,1492.071013761154,0.004448098755993943,0.04447982490440662,834.7072685162019,1492.071013761154,40146080.786555246,1.7194777112441784,48096,8016.0,False,True
15,-0.06157939486985206,0.14348091456270173,-0.02271385619267444,0.11895523064576269,-0.038865538677177625,0.06581304485260983,-0.04542771238534888,0.23791046129152538,-777.3107735435524,1316.2608970521967,0.007121886400754365,0.05023405549394504,777.3107735435524,1316.2608970521967,37385538.96435069,3.675981370592149,48096,8016.0,False,True
16,-0.05956655412302086,0.1390749344578993,-0.020362479579513044,0.11336443193973404,-0.03920407454350782,0.06652419947908235,-0.04072495915902609,0.22672886387946808,-784.0814908701562,1330.483989581647,0.006556879974677072,0.04890117392230349,784.0814908701562,1330.483989581647,37711183.38489103,3.2705422488356617,48096,8016.0,False,True
17,-0.05677659227952036,0.13318461770797105,-0.016141528843810773,0.1074251151753642,-0.040635063435709586,0.07219377035910438,-0.03228305768762155,0.2148502303507284,-812.7012687141918,1443.8754071820874,0.006603641494203305,0.05582414691822512,812.7012687141918,1443.8754071820874,39087680.22007777,2.370259481037924,48096,8016.0,False,True
18,-0.05910359354583018,0.13876460447038047,-0.017650688500437193,0.11340954908624619,-0.04145290504539299,0.07347776534770004,-0.035301377000874386,0.22681909817249238,-829.0581009078599,1469.555306954001,0.00762754818616383,0.06095510696654493,829.0581009078599,1469.555306954001,39874378.421264425,2.5324351297405188,48096,8016.0,False,True
19,-0.05438902270743761,0.12815011207454471,-0.014199624471146824,0.10265832911340537,-0.040189398236290794,0.07201249321296307,-0.028399248942293648,0.20531665822681075,-803.7879647258158,1440.2498642592616,0.006373805493305033,0.05573339649371605,803.7879647258158,1440.2498642592616,38658985.95145284,2.006403858948769,48096,8016.0,False,True
20,-0.056178826519012674,0.1332274003748097,-0.014767968343693174,0.10637882846624956,-0.041410858175319504,0.07513573615339181,-0.029535936687386348,0.21275765693249912,-828.21716350639,1502.714723067836,0.00670802670490591,0.05950879198459819,828.21716350639,1502.714723067836,39833932.69600333,2.054224883566201,48096,8016.0,False,True
