episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-0.047673595139541135,0.06325211232540688,-0.0009566743128964627,0.021852892326047504,-0.046716920826644685,0.05786267142269245,-0.0019133486257929253,0.04370578465209501,-934.3384165328937,1157.253428453849,5.075170816867767e-07,1.5739093699118596e-05,934.3384165328937,1157.253428453849,44937940.48156606,0.19128409846972722,48096,8016.0,False,True
2,-0.045351278655920244,0.059103233351212044,-0.0006551191699421116,0.018089222438854403,-0.044696159485978125,0.05539996298756099,-0.0013102383398842232,0.036178444877708806,-893.9231897195626,1107.9992597512198,3.580213774213453e-07,1.2562433930037608e-05,893.9231897195626,1107.9992597512198,42994129.732752085,0.1309880239520958,48096,8016.0,False,True
3,-0.04721201187108292,0.06267288208736717,-0.0010294235860566021,0.022666453583053987,-0.046182588285026326,0.056527700280723146,-0.0020588471721132043,0.04533290716610797,-923.6517657005263,1130.554005614463,4.638320611625993e-07,1.458713099420019e-05,923.6517657005263,1130.554005614463,44423955.323132515,0.20583832335329344,48096,8016.0,False,True
4,-0.0468051033093327,0.06087954947615145,-0.0008111222870325932,0.020125240333492583,-0.0459939810223001,0.05639450824021694,-0.0016222445740651863,0.04025048066698517,-919.8796204460019,1127.8901648043388,4.879819368020347e-07,1.4488985076648501e-05,919.8796204460019,1127.8901648043388,44242530.22497091,0.1621756487025948,48096,8016.0,False,True
5,-0.04671283948040508,0.06165215978326659,-0.000842279833275954,0.02050701155953353,-0.045870559647129126,0.05695820879266278,-0.001684559666551908,0.04101402311906706,-917.4111929425825,1139.1641758532555,4.2781153273943934e-07,1.538640099707558e-05,917.4111929425825,1139.1641758532555,44123808.73576645,0.16841317365269462,48096,8016.0,False,True
6,-0.046798020911407244,0.06107710415935064,-0.0008215003471121466,0.020253110475857126,-0.04597652056429509,0.05623606087268637,-0.0016430006942242932,0.04050622095171425,-919.5304112859019,1124.7212174537271,4.523396759937107e-07,1.5333649018025965e-05,919.5304112859019,1124.7212174537271,44225734.66120674,0.16425482368596142,48096,8016.0,False,True
7,-0.046973816954914364,0.06164615847101346,-0.0008526920792849013,0.020633327248183918,-0.04612112487562945,0.05658951529391936,-0.0017053841585698026,0.041266654496367836,-922.422497512589,1131.7903058783872,4.605334426774168e-07,1.6650871610365224e-05,922.422497512589,1131.7903058783872,44364832.44036548,0.17049234863606122,48096,8016.0,False,True
8,-0.04818721675797532,0.06334049989583895,-0.0009566181355652347,0.021851608993624656,-0.04723059862241008,0.057666204628266535,-0.0019132362711304694,0.04370321798724931,-944.6119724482016,1153.3240925653308,3.951975161249234e-07,1.3328232520728793e-05,944.6119724482016,1153.3240925653308,45432057.42686871,0.19128409846972722,48096,8016.0,False,True
9,-0.0470101670262876,0.06092438688962173,-0.000790323808630883,0.01986595097636573,-0.046219843217656716,0.05657741652694935,-0.001580647617261766,0.03973190195273146,-924.3968643531343,1131.5483305389869,4.745136963458964e-07,1.523620722016776e-05,924.3968643531343,1131.5483305389869,44459791.58792835,0.1580172987358616,48096,8016.0,False,True
10,-0.04780077248201461,0.06367346351120998,-0.0009878208053574887,0.02220452661209627,-0.04681295167665712,0.05796304837182202,-0.0019756416107149775,0.04440905322419254,-936.2590335331422,1159.2609674364405,4.2528614281579384e-07,1.343633435714414e-05,936.2590335331422,1159.2609674364405,45030314.47681001,0.19752162341982704,48096,8016.0,False,True
