episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-2.3495637886321994,2.2894734053381773,-2.303056670308446,2.30978519144888,-0.046507118323753566,0.06774551198528028,-2.878820837885557,2.8872314893110995,-2325.3559161876783,3387.275599264014,0.8588777411494188,0.7218575139641384,2325.3559161876783,3387.275599264014,10380388.809861796,75.42562724014337,4464,744.0,False,True
2,-1.989224020795991,1.7454707512877867,-1.9410461132138446,1.7664428562693044,-0.04817790758214698,0.06725519418845705,-2.426307641517305,2.208053570336631,-2408.8953791073486,3362.759709422852,0.7720545925085581,0.623836848160824,2408.8953791073486,3362.759709422852,10753308.972335204,76.0304659498208,4464,744.0,False,True
3,-1.8128816827110086,1.7421315185826116,-1.7635554408255316,1.759103282053512,-0.049326241885477136,0.0667243516071825,-2.2044443010319146,2.19887910256689,-2466.312094273857,3336.2175803591244,0.6996718447108295,0.589809253954918,2466.312094273857,3336.2175803591244,11009617.188838497,74.75358422939068,4464,744.0,False,True
4,-1.5072436525104138,1.1497478653973607,-1.4574639853131621,1.165700356115506,-0.04977966719725163,0.06281641008378062,-1.8218299816414525,1.4571254451443825,-2488.9833598625814,3140.820504189031,0.6101387716839659,0.489877899637959,2488.9833598625814,3140.820504189031,11110821.718426563,73.45430107526882,4464,744.0,False,True
5,-1.3569711717503838,0.9605155065321008,-1.3054580058914145,0.9747887976823595,-0.051513165858969104,0.06378714230560929,-1.631822507364268,1.2184859971029494,-2575.658292948455,3189.3571152804643,0.5524124924846452,0.43246008319557017,2575.658292948455,3189.3571152804643,11484860.32825716,72.19107423189057,4459,743.3333333333334,False,False
6,-1.2377945581812564,0.8632962742998969,-1.185596146186055,0.8717968176212586,-0.052198411995201616,0.06250096644681415,-1.4819951827325684,1.0897460220265733,-2609.92059976008,3125.048322340707,0.5016837469658647,0.39931138488848156,2609.92059976008,3125.048322340707,11650685.557328999,69.6236559139785,4464,744.0,False,True
7,-1.1852105206540846,0.8591071853257961,-1.1328434235218272,0.86638890866945,-0.05236709713225764,0.06157495473162158,-1.4160542794022837,1.0829861358368125,-2618.3548566128816,3078.7477365810782,0.4791906465922826,0.3931191817341188,2618.3548566128816,3078.7477365810782,11688336.079919903,67.36111111111111,4464,744.0,False,True
8,-1.1222483166631883,0.8296129046059878,-1.069681664562475,0.8362559118934119,-0.052566652100713276,0.06065707693622494,-1.3371020807030936,1.0453198898667648,-2628.332605035664,3032.8538468112465,0.4507180495873732,0.38063581415471537,2628.332605035664,3032.8538468112465,11732876.748879204,65.25537634408603,4464,744.0,False,True
9,-1.07775119243375,0.8181955191259628,-1.0264464156311084,0.823840234032867,-0.05130477680264177,0.05800678022057116,-1.2830580195388852,1.0298002925410836,-2565.238840132088,2900.3390110285577,0.4308836987622309,0.37468618324738906,2565.238840132088,2900.3390110285577,11451226.18234964,63.530465949820794,4464,744.0,False,True
10,-1.0360269780060984,0.8179095397639344,-0.983313749537583,0.8233593496393166,-0.05271322846851536,0.0601432447234896,-1.2291421869219787,1.0291991870491457,-2635.661423425768,3007.1622361744794,0.41475494946838987,0.37142759910781975,2635.661423425768,3007.1622361744794,11752414.2870555,60.95537115945279,4459,743.3333333333334,False,False
11,-1.0158745708466494,0.8153004384395984,-0.9639847242054045,0.822622427010988,-0.05188984664124487,0.058955201980081175,-1.2049809052567557,1.028278033763735,-2594.4923320622433,2947.7600990040582,0.4053924357032234,0.37089591527177884,2594.4923320622433,2947.7600990040582,11581813.770325854,60.0358422939068,4464,744.0,False,True
12,-0.9976531027226737,0.8035198968897822,-0.9461277301900819,0.8098719990701077,-0.051525372532591505,0.05730804802241393,-1.1826596627376027,1.0123399988376345,-2576.268626629575,2865.4024011206966,0.3969057183223815,0.3645521642904781,2576.268626629575,2865.4024011206966,11500463.149274422,59.56541218637993,4464,744.0,False,True
13,-0.9735552096205468,0.8027079132795338,-0.921320450653581,0.8134184583733997,-0.05223475896696589,0.06031052185527288,-1.151650563316976,1.0167730729667497,-2611.737948348294,3015.5260927636436,0.3865824067239366,0.36514640334058623,2611.737948348294,3015.5260927636436,11658798.201426785,57.997311827956985,4464,744.0,False,True
14,-0.9643509429105059,0.8070702479464142,-0.91345332027911,0.814409682288431,-0.05089762263139579,0.05619388253934479,-1.1418166503488876,1.018012102860539,-2544.88113156979,2809.6941269672393,0.3837145938671134,0.36507522973012363,2544.88113156979,2809.6941269672393,11360349.371327542,57.45967741935484,4464,744.0,False,True
15,-0.9529964337936231,0.802041771979379,-0.90188728411254,0.8117886279442289,-0.05110914968108312,0.05735124447349397,-1.1273591051406748,1.014735784930286,-2555.457484054156,2867.5622236746985,0.3785276761716308,0.3636770299703986,2555.457484054156,2867.5622236746985,11394784.921397481,56.89616505943037,4459,743.3333333333334,False,False
16,-0.9476967559688991,0.8041501977370289,-0.8965476353085688,0.8127910184874416,-0.05114912066033037,0.05593309836941203,-1.120684544135711,1.0159887731093022,-2557.456033016518,2796.654918470601,0.3773352933328306,0.3635029260018335,2557.456033016518,2796.654918470601,11416483.731385738,56.429211469534046,4464,744.0,False,True
17,-0.9368565992230573,0.8014861035252371,-0.8863749895887709,0.8097648685615089,-0.050481609634286266,0.05570561753458746,-1.1079687369859637,1.0122060857018862,-2524.080481714313,2785.2808767293723,0.37236169981899997,0.361996216993451,2524.080481714313,2785.2808767293723,11267495.270372692,56.00358422939068,4464,744.0,False,True
18,-0.9307783437673418,0.801481042974789,-0.8789830473517899,0.8124593975973196,-0.05179529641555189,0.056856427587149656,-1.0987288091897371,1.0155742469966493,-2589.764820777594,2842.8213793574823,0.36943241090275464,0.3630718683157749,2589.764820777594,2842.8213793574823,11560710.15995118,55.443548387096776,4464,744.0,False,True
19,-0.9316270653297197,0.8052782551338932,-0.8813578028075358,0.814454916044979,-0.05026926252218409,0.051834839335643985,-1.1016972535094196,1.0180686450562237,-2513.4631261092045,2591.741966782199,0.37285167637754874,0.3632832422692154,2513.4631261092045,2591.741966782199,11220099.394951489,55.24193548387096,4464,744.0,False,True
20,-0.9168822748490376,0.8046503921287048,-0.8659199702320465,0.8151000705637009,-0.050962304616990986,0.05363243649879367,-1.0823999627900582,1.0188750882046262,-2548.115230849549,2681.6218249396834,0.36507090991913366,0.3637024555249142,2548.115230849549,2681.6218249396834,11362045.81435814,54.429244225162584,4459,743.3333333333334,False,False
21,-0.91573873850532,0.8079339946414215,-0.865079996314803,0.818346710112393,-0.050658742190516776,0.05223771254663452,-1.0813499953935037,1.0229333876404911,-2532.937109525839,2611.8856273317256,0.3668021457757829,0.36442785259856036,2532.937109525839,2611.8856273317256,11307031.256923344,54.03225806451613,4464,744.0,False,True
22,-0.9119631785996648,0.8048052419703972,-0.8612372218252707,0.8158872682484881,-0.05072595677439413,0.05191776914799978,-1.0765465272815886,1.0198590853106102,-2536.297838719706,2595.8884573999885,0.3647755791471571,0.36348296832627064,2536.297838719706,2595.8884573999885,11322033.552044768,53.92025089605734,4464,744.0,False,True
23,-0.9183731607869872,0.8107278122026902,-0.8678667542317468,0.8204385499187922,-0.05050640655524022,0.05037015930710055,-1.0848334427896835,1.0255481873984902,-2525.320327762011,2518.5079653550274,0.3689095517399029,0.3650552216791105,2525.320327762011,2518.5079653550274,11273029.943129616,54.03225806451613,4464,744.0,False,True
24,-0.9081880053498438,0.8046228870698618,-0.8578627358750541,0.8167698908180547,-0.05032526947478962,0.05083606434841163,-1.0723284198438174,1.0209623635225682,-2516.2634737394806,2541.8032174205814,0.3640548718335632,0.36350241040530823,2516.2634737394806,2541.8032174205814,11232600.146773042,53.60663082437276,4464,744.0,False,True
25,-0.9107587318434298,0.8118283393735884,-0.8611438304249972,0.8204871067528743,-0.04961490141843254,0.04567674185079723,-1.0764297880312466,1.0256088834410928,-2480.745070921627,2283.8370925398613,0.3670761278049041,0.3644825751598379,2480.745070921627,2283.8370925398613,11061642.271239534,53.50975555057188,4459,743.3333333333334,False,False
26,-0.9013393831779145,0.8088720120997198,-0.8525006490770919,0.8200007491061383,-0.04883873410082249,0.04582341415067232,-1.0656258113463648,1.0250009363826726,-2441.9367050411242,2291.1707075336158,0.3638695959562665,0.36410766807991973,2441.9367050411242,2291.1707075336158,10900805.451303579,52.93458781362007,4464,744.0,False,True
27,-0.8947542946669875,0.8111477236824958,-0.844961523335103,0.8229489979749024,-0.04979277133188444,0.04713587983530569,-1.0562019041688788,1.0286862474686278,-2489.638566594222,2356.7939917652848,0.3598849120268738,0.36518131154119815,2489.638566594222,2356.7939917652848,11113746.561276607,52.48655913978495,4464,744.0,False,True
28,-0.8924628952611245,0.8060882863117754,-0.8426726459404316,0.8190516992156909,-0.049790249320692884,0.04876854225287212,-1.0533408074255395,1.0238146240196135,-2489.512466034644,2438.4271126436056,0.3583535494061311,0.36416895045305164,2489.512466034644,2438.4271126436056,11113183.648378652,52.508960573476706,4464,744.0,False,True
29,-0.8980434168819486,0.8089380110550974,-0.8484384188196573,0.8216801662748876,-0.049604998062291315,0.046632217462859164,-1.0605480235245717,1.0271002078436096,-2480.2499031145658,2331.610873142958,0.36260777822003065,0.3653126556732584,2480.2499031145658,2331.610873142958,11071835.56750342,52.553763440860216,4464,744.0,False,True
30,-0.8865789580272683,0.8065113413641175,-0.8361454567613522,0.8209035485881526,-0.05043350126591601,0.04828077705216249,-1.0451818209516903,1.0261294357351909,-2521.6750632958006,2414.038852608124,0.35745957708144965,0.3644103496555582,2521.6750632958006,2414.038852608124,11244149.107235974,51.82776407266203,4459,743.3333333333334,False,False
31,-0.8854948926277193,0.8108148167878321,-0.8361619591926123,0.8226920931519014,-0.049332933435107,0.04527762860311134,-1.0452024489907652,1.0283651164398764,-2466.6466717553494,2263.881430155567,0.35686591682566515,0.3654700683008442,2466.6466717553494,2263.881430155567,11011110.74271588,51.83691756272402,4464,744.0,False,True
32,-0.894758307953166,0.8109902611994305,-0.8457841423878546,0.8232375559458175,-0.04897416556531148,0.044308408282097374,-1.057230177984818,1.029046944932272,-2448.7082782655734,2215.4204141048685,0.36254508656370593,0.36561965999164764,2448.7082782655734,2215.4204141048685,10931033.75417752,52.21774193548387,4464,744.0,False,True
