Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,5.780444E-01,0.000000E+00,5.780444E-01,9.260537E+03,1.993883E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
00:20:00,5.780444E-01,0.000000E+00,5.780444E-01,9.214650E+03,1.989136E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
00:30:00,5.780444E-01,0.000000E+00,5.780444E-01,9.168762E+03,1.984388E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
00:40:00,5.780444E-01,0.000000E+00,5.780444E-01,9.122875E+03,1.979641E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
00:50:00,5.780444E-01,0.000000E+00,5.780444E-01,9.076987E+03,1.974894E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
01:00:00,5.780444E-01,0.000000E+00,5.780444E-01,9.031100E+03,1.970146E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
01:10:00,5.780444E-01,0.000000E+00,5.780444E-01,9.000509E+03,1.966982E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
01:20:00,5.780444E-01,0.000000E+00,5.780444E-01,8.969917E+03,1.963817E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
01:30:00,5.780444E-01,0.000000E+00,5.780444E-01,8.939325E+03,1.960653E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
01:40:00,5.780444E-01,0.000000E+00,5.780444E-01,8.908734E+03,1.957487E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
01:50:00,5.780444E-01,0.000000E+00,5.780444E-01,8.878142E+03,1.954322E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
02:00:00,5.780444E-01,0.000000E+00,5.780444E-01,8.847551E+03,1.951158E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
02:10:00,5.780444E-01,0.000000E+00,5.780444E-01,8.824607E+03,1.948784E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
02:20:00,5.780444E-01,0.000000E+00,5.780444E-01,8.801663E+03,1.946411E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
02:30:00,5.780444E-01,0.000000E+00,5.780444E-01,8.778720E+03,1.944037E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
02:40:00,5.780444E-01,0.000000E+00,5.780444E-01,8.755776E+03,1.941663E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
02:50:00,5.780444E-01,0.000000E+00,5.780444E-01,8.732832E+03,1.939289E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
03:00:00,5.780444E-01,0.000000E+00,5.780444E-01,8.709888E+03,1.936916E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
03:10:00,5.780444E-01,0.000000E+00,5.780444E-01,8.686945E+03,1.934542E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
03:20:00,5.780444E-01,0.000000E+00,5.780444E-01,8.664001E+03,1.932168E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
03:30:00,5.780444E-01,0.000000E+00,5.780444E-01,8.641057E+03,1.929795E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
03:40:00,5.780444E-01,0.000000E+00,5.780444E-01,8.618114E+03,1.927421E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
03:50:00,5.780444E-01,0.000000E+00,5.780444E-01,8.595170E+03,1.925047E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
04:00:00,5.780444E-01,0.000000E+00,5.780444E-01,8.572226E+03,1.922674E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
04:10:00,5.780444E-01,0.000000E+00,5.780444E-01,8.556931E+03,1.921092E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
04:20:00,5.780444E-01,0.000000E+00,5.780444E-01,8.541635E+03,1.919509E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
04:30:00,5.780444E-01,0.000000E+00,5.780444E-01,8.526339E+03,1.917926E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
04:40:00,5.780444E-01,0.000000E+00,5.780444E-01,8.511043E+03,1.916345E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
04:50:00,5.780444E-01,0.000000E+00,5.780444E-01,8.495747E+03,1.914762E+04,7.560088E-01,1.114341E+04,5.780444E-01,0.000000E+00,0.000000E+00
