Time,SPACE1-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE1-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE1-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE1-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE1-1::Des Latent Heat Load [W],SPACE1-1::Des Latent Cool Load [W],SPACE1-1::Des Latent Heat Mass Flow [kg/s],SPACE1-1::Des Latent Cool Mass Flow [kg/s],SPACE1-1::Des Heat Load No DOAS [W],SPACE1-1::Des Sens Cool Load No DOAS [W],SPACE1-1::Des Latent Heat Load No DOAS [W],SPACE1-1::Des Latent Cool Load No DOAS [W],SPACE1-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SPACE1-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SPACE1-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SPACE1-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],SPACE2-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE2-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE2-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE2-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE2-1::Des Latent Heat Load [W],SPACE2-1::Des Latent Cool Load [W],SPACE2-1::Des Latent Heat Mass Flow [kg/s],SPACE2-1::Des Latent Cool Mass Flow [kg/s],SPACE2-1::Des Heat Load No DOAS [W],SPACE2-1::Des Sens Cool Load No DOAS [W],SPACE2-1::Des Latent Heat Load No DOAS [W],SPACE2-1::Des Latent Cool Load No DOAS [W],SPACE2-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SPACE2-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SPACE2-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SPACE2-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],SPACE3-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE3-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE3-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE3-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE3-1::Des Latent Heat Load [W],SPACE3-1::Des Latent Cool Load [W],SPACE3-1::Des Latent Heat Mass Flow [kg/s],SPACE3-1::Des Latent Cool Mass Flow [kg/s],SPACE3-1::Des Heat Load No DOAS [W],SPACE3-1::Des Sens Cool Load No DOAS [W],SPACE3-1::Des Latent Heat Load No DOAS [W],SPACE3-1::Des Latent Cool Load No DOAS [W],SPACE3-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SPACE3-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SPACE3-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SPACE3-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],SPACE4-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE4-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE4-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE4-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE4-1::Des Latent Heat Load [W],SPACE4-1::Des Latent Cool Load [W],SPACE4-1::Des Latent Heat Mass Flow [kg/s],SPACE4-1::Des Latent Cool Mass Flow [kg/s],SPACE4-1::Des Heat Load No DOAS [W],SPACE4-1::Des Sens Cool Load No DOAS [W],SPACE4-1::Des Latent Heat Load No DOAS [W],SPACE4-1::Des Latent Cool Load No DOAS [W],SPACE4-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SPACE4-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SPACE4-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SPACE4-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],SPACE5-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SPACE5-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SPACE5-1:NAGOYA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SPACE5-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SPACE5-1::Des Latent Heat Load [W],SPACE5-1::Des Latent Cool Load [W],SPACE5-1::Des Latent Heat Mass Flow [kg/s],SPACE5-1::Des Latent Cool Mass Flow [kg/s],SPACE5-1::Des Heat Load No DOAS [W],SPACE5-1::Des Sens Cool Load No DOAS [W],SPACE5-1::Des Latent Heat Load No DOAS [W],SPACE5-1::Des Latent Cool Load No DOAS [W],SPACE5-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],SPACE5-1:NAGOYA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],SPACE5-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],SPACE5-1:NAGOYA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.046879E+03,1.121373E+02,1.454715E-01,1.389491E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.389999E+01,4.917071E+01,8.543103E+02,3.226186E+01,6.071575E-02,3.997558E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389999E+01,4.931284E+01,1.993234E+03,7.681858E+01,1.416589E-01,9.518571E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.389999E+01,4.932249E+01,8.543103E+02,3.226186E+01,6.071575E-02,3.997558E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389999E+01,4.931284E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.354853E+01,5.319272E+01
00:20:00,2.046879E+03,1.013971E+02,1.454715E-01,1.256409E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.389999E+01,4.915736E+01,8.543103E+02,2.765079E+01,6.071575E-02,3.426200E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389999E+01,4.930296E+01,1.993234E+03,6.640337E+01,1.416589E-01,8.228022E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.389999E+01,4.931199E+01,8.543103E+02,2.765079E+01,6.071575E-02,3.426200E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389999E+01,4.930296E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.353037E+01,5.325097E+01
00:30:00,2.046879E+03,9.093797E+01,1.454715E-01,1.126810E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.389999E+01,4.914577E+01,8.543103E+02,2.316823E+01,6.071575E-02,2.870767E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389999E+01,4.929505E+01,1.993234E+03,5.626385E+01,1.416589E-01,6.971635E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.389999E+01,4.930344E+01,8.543103E+02,2.316823E+01,6.071575E-02,2.870767E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389999E+01,4.929505E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.351275E+01,5.330758E+01
00:40:00,2.046879E+03,8.074422E+01,1.454715E-01,1.000499E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.389999E+01,4.913580E+01,8.543103E+02,1.880464E+01,6.071575E-02,2.330076E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928898E+01,1.993234E+03,4.638377E+01,1.416589E-01,5.747397E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.390000E+01,4.929674E+01,8.543103E+02,1.880464E+01,6.071575E-02,2.330076E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928898E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.349562E+01,5.336267E+01
00:50:00,2.046879E+03,7.080331E+01,1.454715E-01,8.773213E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.389999E+01,4.912734E+01,8.543103E+02,1.455256E+01,6.071575E-02,1.803202E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928468E+01,1.993234E+03,3.675018E+01,1.416589E-01,4.553700E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.390000E+01,4.929179E+01,8.543103E+02,1.455256E+01,6.071575E-02,1.803202E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928468E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.347895E+01,5.341635E+01
01:00:00,2.046879E+03,6.110521E+01,1.454715E-01,7.571524E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.389999E+01,4.912031E+01,8.543103E+02,1.036215E+01,6.071575E-02,1.283970E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928209E+01,1.993234E+03,2.735272E+01,1.416589E-01,3.389265E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.390000E+01,4.928855E+01,8.543103E+02,1.036215E+01,6.071575E-02,1.283970E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928209E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.346271E+01,5.346870E+01
01:10:00,2.046879E+03,5.172011E+01,1.454715E-01,6.408618E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.390000E+01,4.911464E+01,8.543103E+02,7.526127E+00,6.071575E-02,9.325555E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390037E+01,4.928011E+01,1.993234E+03,1.887564E+01,1.416589E-01,2.338873E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.390000E+01,4.928695E+01,8.543103E+02,7.526127E+00,6.071575E-02,9.325555E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390037E+01,4.928011E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.344686E+01,5.351982E+01
01:20:00,2.046879E+03,4.265711E+01,1.454715E-01,5.285624E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.390000E+01,4.911019E+01,8.543103E+02,4.770986E+00,6.071575E-02,5.911671E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928029E+01,1.993234E+03,1.200063E+01,1.416589E-01,1.486993E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.389757E+01,4.929374E+01,8.543103E+02,4.770986E+00,6.071575E-02,5.911671E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.390000E+01,4.928029E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.343139E+01,5.356980E+01
01:30:00,2.046879E+03,3.394920E+01,1.454715E-01,4.206631E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.390000E+01,4.910687E+01,8.543103E+02,2.710748E+00,6.071575E-02,3.358838E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389020E+01,4.930888E+01,1.993234E+03,6.699377E+00,1.416589E-01,8.301168E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.390035E+01,4.928552E+01,8.543103E+02,2.710748E+00,6.071575E-02,3.358838E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.389020E+01,4.930888E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.341627E+01,5.361868E+01
01:40:00,2.046879E+03,2.554427E+01,1.454715E-01,3.165179E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574757E+01,2.390000E+01,4.910460E+01,8.543103E+02,1.333319E+00,6.071575E-02,1.652072E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.388585E+01,4.932170E+01,1.993234E+03,2.946999E+00,1.416589E-01,3.651613E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574577E+01,2.389940E+01,4.928842E+01,8.543103E+02,1.333319E+00,6.071575E-02,1.652072E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.574565E+01,2.388585E+01,4.932170E+01,1.011337E+03,0.000000E+00,7.187558E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.109998E+01,2.556805E+01,2.340168E+01,5.366591E+01
