episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-3.8034896920632213,3.5489831048239053,-2.2200995466537354,2.530790455103563,-1.5833901454094852,1.5599048610634354,-4.440199093307471,5.061580910207126,-31667.8029081897,31198.09722126871,0.08683183931787239,0.41074702751691217,31667.8029081897,31198.09722126871,141365072.18215883,55.331541218637994,4464,744.0,False,True
2,-3.7479983609510428,3.478435680189814,-2.1474763047321215,2.4917724771476597,-1.600522056218921,1.5577348009041572,-4.294952609464243,4.983544954295319,-32010.44112437842,31154.696018083137,0.08957747416793765,0.4465282024418877,32010.44112437842,31154.696018083137,142894609.17922527,53.965053763440864,4464,744.0,False,True
3,-3.746392107667668,3.5064244559491713,-2.1791214380580883,2.517185386687727,-1.5672706696095795,1.5324472678682601,-4.358242876116177,5.034370773375454,-31345.413392191585,30648.945357365206,0.08191370019497486,0.42556377535394546,31345.413392191585,30648.945357365206,139925925.38274324,54.99551971326165,4464,744.0,False,True
4,-3.7659817019918793,3.5432009392542536,-2.2303392728371167,2.5388179948772365,-1.5356424291547623,1.500077394248445,-4.4606785456742335,5.077635989754473,-30712.84858309524,30001.5478849689,0.07589282873477766,0.3986975927046169,30712.84858309524,30001.5478849689,137102156.07493716,55.04032258064516,4464,744.0,False,True
5,-3.812879713212322,3.580112058139474,-2.3157457406115003,2.582548021394224,-1.4971339726008213,1.4545560558244932,-4.631491481223001,5.165096042788448,-29942.679452016426,29091.121116489867,0.07938297892904084,0.39993732170099894,29942.679452016426,29091.121116489867,133664121.07380132,55.80197132616488,4464,744.0,False,True
6,-3.7980303728256217,3.570581462612013,-2.271507408475201,2.5696230741104835,-1.526522964350421,1.5034235233323847,-4.543014816950402,5.139246148220967,-30530.459287008413,30068.47046664769,0.08114200609410249,0.43263415833752306,30530.459287008413,30068.47046664769,136287970.25720555,56.29480286738351,4464,744.0,False,True
7,-3.8047158696577643,3.554038043038932,-2.2434886195601558,2.564146605097684,-1.5612272500976085,1.5227271495260444,-4.4869772391203115,5.128293210195368,-31224.54500195217,30454.542990520888,0.08866679686663095,0.4516392147970294,31224.54500195217,30454.542990520888,139386368.8887145,55.77956989247311,4464,744.0,False,True
8,-3.8071712991974564,3.5695737574970887,-2.284534842119203,2.5707988742361763,-1.5226364570782536,1.489356123471034,-4.569069684238406,5.1415977484723525,-30452.729141565072,29787.122469420683,0.08437252332436301,0.43950496968623737,30452.729141565072,29787.122469420683,135940982.8879465,55.66756272401434,4464,744.0,False,True
9,-3.762203520729573,3.5442018589099584,-2.2254621619343404,2.534591059624212,-1.5367413587952325,1.5087335473353687,-4.450924323868681,5.069182119248424,-30734.82717590465,30174.670946707378,0.07891862428100917,0.37363959267637925,30734.82717590465,30174.670946707378,137200268.51323837,54.72670250896058,4464,744.0,False,True
10,-3.770074274837324,3.5310971420812542,-2.2306666101762516,2.549577626228631,-1.5394076646610724,1.5217503007145086,-4.461333220352503,5.099155252457262,-30788.15329322144,30435.006014290168,0.08095781973706581,0.4143253955022095,30788.15329322144,30435.006014290168,137130434.7680083,54.467894027840146,4454,742.5,False,False
