episode_num,Dry Bulb Temperature_sigma,Dry Bulb Temperature_mu,Dry Bulb Temperature_tau
1,1.0,0.0,24.0
2,1.0,0.0,24.0
3,1.0,0.0,24.0
4,1.0,0.0,24.0
5,1.0,0.0,24.0
6,1.0,0.0,24.0
7,1.0,0.0,24.0
8,1.0,0.0,24.0
9,1.0,0.0,24.0
10,1.0,0.0,24.0
11,1.0,0.0,24.0
12,1.0,0.0,24.0
13,1.0,0.0,24.0
14,1.0,0.0,24.0
15,1.0,0.0,24.0
16,1.0,0.0,24.0
17,1.0,0.0,24.0
18,1.0,0.0,24.0
19,1.0,0.0,24.0
20,1.0,0.0,24.0
21,1.0,0.0,24.0
22,1.0,0.0,24.0
23,1.0,0.0,24.0
24,1.0,0.0,24.0
25,1.0,0.0,24.0
